Game,Platform,Year,Genre,Publisher,North America,Europe,Japan,Rest of World
Assassin's Creed Chronicles,PS4,2016,Action,Ubisoft,0.02,0.05,0.02,0.01
Romance of the Three Kingdoms 13,PS4,2015,Action,Tecmo Koei,0.03,0,0.06,0.01
NASCAR Heat Evolution,PS4,2016,Racing,Dusenberry Martin Racing,0.08,0,0,0.02
Fairy Fencer F: Advent Dark Force,PS4,2015,Role-Playing,Idea Factory International,0.04,0,0.06,0.01
Devil May Cry 4,PS4,2015,Action,Capcom,0.01,0,0.09,0
Grand Kingdom,PS4,2015,Role-Playing,Nippon Ichi Software,0.05,0,0.04,0.01
Natural Doctrine,PS4,2014,Role-Playing,Nippon Ichi Software,0.05,0.02,0.02,0.01
Ultra Street Fighter IV,PS4,2015,Fighting,Capcom,0,0.08,0,0.01
The Golf Club,PS4,2014,Sports,Unknown,0.06,0.02,0,0.02
Shovel Knight,PS4,2015,Platform,Yacht Club Games,0.04,0.04,0,0.02
Resident Evil 4 HD,PS4,2016,Shooter,Capcom,0.06,0,0.01,0.02
God Eater Resurrection,PS4,2015,Action,Namco Bandai Games,0,0,0.09,0
Grand Ages: Medieval,PS4,2015,Strategy,Kalypso Media,0,0.05,0.03,0.01
Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,PS4,2016,Misc,Tecmo Koei,0.02,0,0.06,0.01
Ride 2,PS4,2016,Racing,Milestone S.r.l,0.02,0.05,0,0.01
Toy Soldiers: War Chest,PS4,2015,Action,Ubisoft,0.07,0,0,0.02
Yoru no Nai Kuni,PS4,2015,Role-Playing,Tecmo Koei,0,0,0.09,0
Duke Nukem 3D: 20th Anniversary World Tour,PS4,2016,Shooter,Gearbox Software,0.07,0,0,0.02
Dragon's Dogma Online,PS4,2015,Role-Playing,Capcom,0,0,0.09,0
Lara Croft and the Temple of Osiris,PS4,2014,Action,Square Enix,0,0.07,0,0.01
The Technomancer,PS4,2016,Role-Playing,Focus Home Interactive,0.03,0.04,0,0.01
Hatsune Miku: Project Diva X,PS4,2016,Misc,Sega,0.04,0,0.04,0.01
Battlezone,PS4,2016,Action,Rebellion Developments,0.05,0.02,0,0.01
Legend of Kay,PS4,2015,Action,Nordic Games,0.03,0.03,0,0.01
Ghostbusters (2016),PS4,2016,Action,Activision,0.06,0,0,0.01
Earth Defense Force 4.1: The Shadow of New Despair,PS4,2015,Shooter,Xseed Games,0.04,0.02,0,0.01
Nights of Azure,PS4,2015,Action,Tecmo Koei,0.04,0.02,0,0.01
Mighty No. 9,PS4,2016,Platform,Deep Silver,0.06,0,0,0.01
Dead Rising,PS4,2016,Action,Capcom,0.04,0,0.02,0.01
Project Setsuna,PS4,2016,Role-Playing,Square Enix,0,0,0.07,0
Psycho-Pass: Mandatory Happiness,PS4,2016,Adventure,Nippon Ichi Software,0.05,0.01,0,0.01
Dead Rising 2,PS4,2016,Action,Capcom,0.04,0,0.02,0.01
Utawarerumono: Itsuwari no Kamen,PS4,2015,Adventure,Deep Silver,0,0,0.07,0
Kamen Rider: Battride War Genesis,PS4,2016,Action,Namco Bandai Games,0,0,0.07,0
The Book of Unwritten Tales 2,PS4,2015,Adventure,Nordic Games,0,0.06,0,0.01
Resident Evil 5 HD,PS4,2016,Action,Capcom,0.04,0,0.01,0.01
Terraria,PS4,2014,Action,505 Games,0,0.05,0.01,0.01
Assetto Corsa,PS4,2016,Racing,505 Games,0,0.06,0,0.01
Utawarerumono: Futari no Hakuoro,PS4,2016,Misc,Atlus,0,0,0.07,0
Broken Sword 5: The Serpent's Curse,PS4,2015,Adventure,Revolution Software,0,0.06,0,0.01
New Danganronpa V3: Minna no Koroshiai Shin Gakki,PS4,2017,Action,Nippon Ichi Software,0,0,0.06,0
Senran Kagura: Peach Beach Splash,PS4,2017,Action,Marvelous Interactive,0,0,0.06,0
Prototype: Biohazard Bundle,PS4,2016,Action,Activision,0.05,0,0,0.01
Dead or Alive Xtreme 3: Fortune,PS4,2016,Sports,Tecmo Koei,0,0,0.06,0
Atari Flashback Classics: Volume 1,PS4,2016,Misc,Atari,0.05,0,0,0.01
ZombiU,PS4,2016,Action,Ubisoft,0,0.04,0.01,0.01
Risen 3: Titan Lords,PS4,2015,Role-Playing,Deep Silver,0,0.05,0,0.01
Warhammer: The End Times - Vermintide,PS4,2016,Action,Games Workshop,0.02,0.03,0,0.01
Valkyria: Azure Revolution,PS4,2017,Role-Playing,Sega,0,0,0.06,0
Sword Art Online: Game Director's Edition,PS4,2015,Role-Playing,Namco Bandai Games,0,0,0.06,0
Mark McMorris Infinite Air,PS4,2016,Sports,FuRyu Corporation,0.05,0,0,0.01
Nobunaga no Yabou: Souzou,PS4,2014,Strategy,Tecmo Koei,0,0,0.06,0
Atelier Firis: The Alchemist of the Mysterious Journey,PS4,2016,Role-Playing,Tecmo Koei,0.01,0,0.05,0
Game of Thrones (Telltale),PS4,2015,Adventure,Telltale Games,0.05,0,0,0.01
Yonmegami Online: Cyber Dimension Neptune,PS4,2017,Role-Playing,Idea Factory International,0,0,0.06,0
MX vs. ATV Supercross Encore,PS4,2015,Sports,Nordic Games,0,0.05,0,0.01
Handball 16,PS4,2015,Sports,Bigben Interactive,0,0.05,0,0.01
Rugby World Cup 2015,PS4,2015,Sports,Ubisoft,0,0.05,0,0.01
Atari Flashback Classics: Volume 2,PS4,2016,Misc,Atari,0.05,0,0,0.01
Rocksmith 2014 Edition Remastered,PS4,2016,Misc,Ubisoft,0.04,0,0,0.01
Steins;Gate 0,PS4,2015,Adventure,PQube,0,0,0.05,0
Darksiders: Warmastered Edition,PS4,2016,Action,Nordic Games,0.04,0,0,0.01
King's Quest: The Complete Collection,PS4,2016,Adventure,Activision,0.04,0,0,0.01
WRC 5: FIA World Rally Championship,PS4,2015,Sports,Bigben Interactive,0,0.05,0,0.01
Arcania: Gothic 4,PS4,2015,Role-Playing,Nordic Games,0.04,0,0,0.01
Legend of Kay Anniversary,PS4,2015,Action,Nordic Games,0,0.05,0,0.01
Nobunaga's Ambition: Sphere of Influence,PS4,2014,Strategy,Tecmo Koei,0.04,0,0,0.01
Loading Human,PS4,2016,Adventure,FuRyu Corporation,0.03,0.01,0,0.01
Exist Archive: The Other Side of the Sky,PS4,2015,Role-Playing,Aksys Games,0.01,0,0.03,0
Phantasy Star Online 2 Episode 4: Deluxe Package,PS4,2017,Role-Playing,Sega,0,0,0.05,0
Child of Light,PS4,2014,Role-Playing,Ubisoft,0,0.01,0.04,0
Sengoku Basara 4: Sumeragi,PS4,2015,Action,Capcom,0,0,0.05,0
Sengoku Basara: Sanada Yukimura-Den,PS4,2016,Action,Capcom,0,0,0.05,0
Let's Sing 2016,PS4,2015,Action,FuRyu Corporation,0.04,0,0,0.01
Saints Row: Gat out of Hell,PS4,2015,Action,Deep Silver,0,0.04,0,0.01
Nitroplus Blasterz: Heroines Infinite Duel,PS4,2015,Fighting,Marvelous Interactive,0.01,0,0.03,0
Tokyo Xanadu eX+,PS4,2016,Role-Playing,Nihon Falcom Corporation,0,0,0.05,0
Samurai Warriors: Sanada Maru,PS4,2016,Action,Tecmo Koei,0,0,0.05,0
Worms: WMD,PS4,2016,Action,Sold Out,0.02,0.02,0,0.01
Summon Night 6: Lost Borders,PS4,2016,Action,Namco Bandai Games,0,0,0.05,0
SŽbastien Loeb Rally Evo,PS4,2016,Racing,Milestone S.r.l,0,0.04,0,0.01
Prison Architect,PS4,2016,Action,Introversion Software,0.02,0.01,0,0.01
Hyperdimension Neptunia Victory II,PS4,2015,Role-Playing,Idea Factory International,0,0,0.04,0
Overcooked,PS4,2016,Action,Sold Out,0.03,0,0,0.01
Accel World vs. Sword Art Online: Millennium Twilight,PS4,2017,Action,Namco Bandai Games,0,0,0.04,0
Assault Suit Leynos,PS4,2016,Shooter,Rising Star Games,0.03,0,0,0.01
Rugby Challenge 3,PS4,2016,Sports,Alternative Software,0,0.04,0,0.01
Musou Stars,PS4,2017,Action,Tecmo Koei,0,0,0.04,0
Here They Lie,PS4,2016,Adventure,Sony Computer Entertainment,0,0.03,0,0.01
Paragon,PS4,2016,Action,Epic Games,0.03,0,0,0.01
Sherlock Holmes: The Devil's Daughter,PS4,2016,Adventure,Bigben Interactive,0.03,0,0,0.01
The Talos Principle,PS4,2015,Puzzle,Devolver Digital,0,0.03,0,0.01
JoJo's Bizarre Adventure: Eyes of Heaven,PS4,2015,Fighting,Namco Bandai Games,0,0,0.04,0
Agatha Christie's The ABC Murders,PS4,2016,Adventure,Microids,0.02,0.01,0,0.01
Styx: Shards of Darknes,PS4,2017,Action,Focus Home Interactive,0.03,0,0,0.01
Assassin's Creed Chronicles: China,PS4,2015,Action,Ubisoft,0,0.03,0,0.01
Black Rose Valkyrie,PS4,2016,Role-Playing,Idea Factory International,0,0,0.04,0
Aragami,PS4,2016,Action,FuRyu Corporation,0.03,0,0,0.01
Touhou Genso Rondo: Bullet Ballet,PS4,2016,Shooter,Nippon Ichi Software,0.03,0,0,0.01
Aegis of Earth: Protonovus Assault,PS4,2016,Action,PQube,0.03,0,0,0.01
Tour de France 2014,PS4,2014,Sports,Focus Home Interactive,0,0.03,0,0.01
Resident Evil: Umbrella Corps,PS4,2016,Action,Capcom,0,0,0.03,0
God Eater Off Shot: Lindow-hen Twin Pack & Animation Vol. 2,PS4,2015,Misc,Namco Bandai Games,0,0,0.03,0
Infamous: First Light,PS4,2014,Action,Sony Computer Entertainment,0,0.03,0,0
Cartoon Network Battle Crashers,PS4,2016,Action,FuRyu Corporation,0.03,0,0,0.01
Lumo,PS4,2016,Puzzle,Rising Star Games,0.03,0,0,0.01
ABZU,PS4,2017,Adventure,505 Games,0.03,0,0,0.01
Blue Reflection: Maboroshi ni Mau - Shoujo no Ken,PS4,2017,Action,Tecmo Koei,0,0,0.03,0
Anima - Gate of Memories,PS4,2016,Action,Avanquest,0.01,0.02,0,0.01
Dynasty Warriors: Eiketsuden,PS4,2016,Action,Tecmo Koei,0,0,0.03,0
Winning Post 8 2016,PS4,2016,Simulation,Tecmo Koei,0,0,0.03,0
Dragon's Dogma Online: Season 2,PS4,2016,Action,Capcom,0,0,0.03,0
Blade Arcus from Shining EX,PS4,2015,Fighting,Sega,0,0,0.03,0
Hasbro Family Fun Pack Conquest Edition,PS4,2016,Misc,Ubisoft,0.02,0,0,0.01
Koihime Enbu,PS4,2016,Fighting,Yeti,0,0,0.03,0
Super Dungeon Bros,PS4,2016,Action,Nordic Games,0.02,0,0,0.01
God Eater Off Shot:Shiou-hen Twin Pack & Animation Vol.5,PS4,2016,Misc,Namco Bandai Games,0,0,0.03,0
The Peanuts Movie: Snoopy's Grand Adventure,PS4,2015,Action,Activision,0,0.02,0,0
Marvel Pinball: Epic Collection Volume 1,PS4,2016,Misc,Nighthawk Interactive,0.02,0,0,0.01
Crows: Burning Edge,PS4,2016,Action,Namco Bandai Games,0,0,0.03,0
Just Sing,PS4,2016,Misc,Ubisoft,0.02,0,0,0
Shin Hayarigami 2,PS4,2016,Adventure,Nippon Ichi Software,0,0,0.03,0
Geometry Wars 3: Dimensions Evolved,PS4,2016,Action,Activision,0.02,0,0,0
Omega Quintet,PS4,2014,Role-Playing,Compile Heart,0,0,0.02,0
Root Letter,PS4,2016,Adventure,PQube,0,0,0.03,0
God Eater Off Shot: Soma Shikkuzaru-hen Twin Pack & Animation Vol.4,PS4,2016,Action,Namco Bandai Games,0,0,0.02,0
Rugby League Live 3,PS4,2015,Action,Tru Blu Entertainment,0,0.02,0,0
The Witch and the Hundred Knights 2,PS4,2017,Role-Playing,Nippon Ichi Software,0,0,0.02,0
Earth's Dawn,PS4,2016,Action,Rising Star Games,0.02,0,0,0
Dino Dini's Kick Off Revival,PS4,2016,Sports,Avanquest,0,0.02,0,0
God Eater Off Shot: Tachibana Sakuya-hen Twin Pack & Animation Vol.7,PS4,2016,Action,Namco Bandai Games,0,0,0.02,0
R.B.I. Baseball 2016,PS4,2016,Sports,MLB.com,0.02,0,0,0
Resident Evil: Value Pack,PS4,2016,Adventure,Capcom,0,0,0.02,0
Dungeons 2,PS4,2016,Role-Playing,Kalypso Media,0.02,0,0,0
Republique,PS4,2016,Action,Nippon Ichi Software,0,0.01,0.01,0
Tokyo Twilight Ghost Hunters Daybreak: Special Gigs,PS4,2016,Adventure,Nippon Ichi Software,0.02,0,0,0
This War of Mine,PS4,2016,Action,Deep Silver,0,0.02,0,0
Werewolves Within,PS4,2016,Misc,Ubisoft,0.02,0,0,0
Carmageddon: Max Damage,PS4,2016,Action,Stainless Games,0.02,0,0,0
Natsuiro High School: Seishun Hakusho,PS4,2015,Action,D3Publisher,0,0,0.02,0
SteamWorld Collection,PS4,2016,Platform,Rising Star Games,0.02,0,0,0
Naruto Shippuden Ultimate Ninja Storm 4: Road to Boruto,PS4,2017,Fighting,Namco Bandai Games,0,0,0.02,0
MX vs ATV Supercross Encore 2017 Track Edition,PS4,2017,Racing,THQ Nordic,0.02,0,0,0
Romance of the Three Kingdoms 13 with Power-Up Kit,PS4,2017,Misc,Tecmo Koei,0,0,0.02,0
The Dwarves,PS4,2016,Role-Playing,THQ Nordic,0.01,0,0,0
Monster Hunter Frontier Z: Beginner's Package,PS4,2016,Action,Capcom,0,0,0.02,0
God Eater Off Shot: Fujiki Kota-hen Twin Pack & Animation Vol.6,PS4,2016,Misc,Namco Bandai Games,0,0,0.02,0
Rabbids Invasion: The Interactive TV Show,PS4,2014,Misc,Ubisoft,0,0.01,0,0
Skullgirls: 2nd Encore,PS4,2016,Fighting,Arc System Works,0,0,0.02,0
Professional Farmer 2016,PS4,2015,Action,Namco Bandai Games,0,0.01,0,0
Shantae: Half-Genie Hero,PS4,2016,Platform,Xseed Games,0.01,0,0,0
Chaos;Child,PS4,2015,Adventure,5pb,0,0,0.02,0
Tumblestone,PS4,2016,Action,Nighthawk Interactive,0.01,0,0,0
Touhou Shinhiroku: Urban Legend in Limbo,PS4,2016,Fighting,Mediascape,0,0,0.02,0
Super Stardust Ultra VR,PS4,2016,Shooter,Sony Computer Entertainment,0,0.01,0,0
OlliOlli: Epic Combo Edition,PS4,2016,Platform,Badland Studio,0.01,0,0,0
SG/ZH: School Girl/Zombie Hunter,PS4,2017,Action,D3Publisher,0,0,0.01,0
Konoyo no Hate de Koi o Utau Shoujo: Yu-No,PS4,2017,Adventure,5pb,0,0,0.01,0
Raven's Cry,PS4,2015,Role-Playing,TopWare Interactive,0,0.01,0,0
We Sing (2016),PS4,2016,Misc,THQ Nordic,0.01,0,0,0
Winning Post 8 2017,PS4,2017,Misc,Tecmo Koei,0,0,0.01,0
Battle Worlds: Kronos,PS4,2016,Strategy,Nordic Games,0.01,0,0,0
Vikings: Wolves of Midgard,PS4,2017,Action,Kalypso Media,0,0.01,0,0
R.B.I. Baseball 2017,PS4,2017,Sports,MLB.com,0.01,0,0,0
Farming 2017 - The Simulation,PS4,2016,Simulation,UIG Entertainment,0,0.01,0,0
Akiba's Beat,PS4,2016,Action,Acquire,0,0,0.01,0
Danganronpa 1o2 Reload,PS4,2017,Adventure,Nippon Ichi Software,0.01,0,0,0
Ao no Kanata no Four Rhythm,PS4,2017,Adventure,Unknown,0,0,0.01,0
WRC 6,PS4,2016,Racing,PQube,0,0,0,0
Torment: Tides of Numenera,PS4,2017,Role-Playing,Techland,0.01,0,0,0
Battle Garegga Rev.2016,PS4,2016,Strategy,M2,0,0,0.01,0
Pac-Man Championship Edition 2 + Arcade Game Series,PS4,2017,Action,Namco Bandai Games,0.01,0,0,0
Gal Gun: Double Peace,PS4,2015,Action,PQube,0,0,0.01,0
Woodcutter Simulator 2016,PS4,2015,Action,Namco Bandai Games,0,0.01,0,0
New Game! The Challenge Stage!,PS4,2017,Adventure,5pb,0,0,0.01,0
Touhou Genso Wanderer,PS4,2017,Action,Nippon Ichi Software,0.01,0,0,0
Let It Die,PS4,2017,Action,GungHo,0,0,0,0
Zero Escape The Nonary Games,PS4,2017,Adventure,Aksys Games,0.01,0,0,0
Has-Been Heroes,PS4,2017,Action,GameTrust,0.01,0,0,0
Moto Racer 4,PS4,2016,Racing,PQube,0.01,0,0,0
Re:Zero - Kara Hajimeru Isekai Seikatsu - Death or Kiss,PS4,2017,Adventure,5pb,0,0,0.01,0
Deception IV: Blood Ties,PS4,2015,Action,Tecmo Koei,0,0,0.01,0
Ziggurat,PS4,2016,Action,Milkstone Studios,0,0.01,0,0
The Escapists: The Walking Dead,PS4,2016,Action,Team17 Software,0,0,0,0
Monster Jam: Crush It,PS4,2017,Racing,GameMill Entertainment,0,0,0,0
Zombie Vikings,PS4,2016,Action,Rising Star Games,0,0,0,0
Super Meat Boy,PS4,2016,Platform,Team Meat,0,0,0,0
Teslagrad,PS4,2014,Platform,Rain Games,0,0,0,0
This Is The Police,PS4,2017,Strategy,THQ Nordic,0,0,0,0
Blood Bowl 2,PS4,2015,Action,Focus Home Interactive,0,0,0,0
The Witness,PS4,2016,Puzzle,"Thekla, Inc.",0,0,0,0
Quantic Dream Collection,PS4,2015,Action,Sony Computer Entertainment,0,0,0,0
Chaos;Child: Love Chu Chu!!,PS4,2017,Adventure,5pb,0,0,0,0
Akiba's Trip 2+A,PS4,2017,Adventure,Acquire,0,0,0,0
Big Buck Hunter Arcade,PS4,2017,Shooter,GameMill Entertainment,0,0,0,0
Troll and I,PS4,2017,Action,FuRyu Corporation,0,0,0,0
Birthdays the Beginning,PS4,2017,Misc,Arc System Works,0,0,0,0
Toki Tori 2+,PS4,2016,Puzzle,Two Tribes,0,0,0,0
Darius Burst: Chronicle Saviours,PS4,2017,Action,Kadokawa Games,0,0,0,0
Deception IV: The Nightmare Princess,PS4,2015,Action,Tecmo Koei,0,0,0,0
Fushigi no Chronicle: Furikaerimasen Katsu Madewa,PS4,2015,Action,Screenlife,0,0,0,0
Danganronpa Another Episode: Ultra Despair Girls,PS4,2017,Action,Nippon Ichi Software,0,0,0,0
H1Z1,PS4,N/A,Action,N/A,0,0,0,0
Space Hulk: Deathwing,PS4,2015,Shooter,Focus Home Interactive,0,0,0,0
Wild,PS4,2020,Adventure,Wild Sheep Studio,0,0,0,0
Kung Fu Panda: Showdown of Legendary Legends,PS4,2015,Action,Little Orbit,0,0,0,0
Marvel vs. Capcom: Infinite,PS4,2017,Fighting,Capcom,0,0,0,0
WipEout Omega Collection,PS4,2017,Racing,Sony Computer Entertainment,0,0,0,0
Fez,PS4,N/A,Puzzle,N/A,0,0,0,0
Rainbow Moon,PS4,N/A,Role-Playing,N/A,0,0,0,0
Rocketbirds 2: Evolution,PS4,2020,Action,Unknown,0,0,0,0
Kingdom Hearts III,PS4,2020,Role-Playing,Disney Interactive Studios,0,0,0,0
Hellraid,PS4,N/A,Action,N/A,0,0,0,0
Kingdom Come: Deliverance,PS4,2015,Role-Playing,Warhorse Studios,0,0,0,0
VizionEck,PS4,N/A,Shooter,N/A,0,0,0,0
Pneuma: Breath of Life,PS4,N/A,Puzzle,N/A,0,0,0,0
Sniper: Ghost Warrior 3,PS4,2017,Shooter,City Interactive,0,0,0,0
Ys VIII: Lacrimosa of Dana,PS4,2020,Role-Playing,Nippon Ichi Software,0,0,0,0
God Wars: Future Past,PS4,2017,Role-Playing,Nippon Ichi Software,0,0,0,0
DC Universe Online,PS4,2013,Role-Playing,Sony Online Entertainment,0,0,0,0
Awesomenauts,PS4,2014,Strategy,DTP Entertainment,0,0,0,0
Two Brothers,PS4,N/A,Role-Playing,N/A,0,0,0,0
Guacamelee!,PS4,N/A,Action,N/A,0,0,0,0
Reus,PS4,2016,Strategy,Soedesco,0,0,0,0
TowerFall,PS4,2014,Action,Unknown,0,0,0,0
Ironclad Tactics,PS4,N/A,Strategy,N/A,0,0,0,0
Gran Turismo 7,PS4,2020,Racing,Sony Computer Entertainment,0,0,0,0
Salt and Sanctuary,PS4,N/A,Action,N/A,0,0,0,0
Enter the Gungeon,PS4,N/A,Shooter,N/A,0,0,0,0
Tembo the Badass Elephant,PS4,N/A,Platform,N/A,0,0,0,0
The London Heist,PS4,2016,Shooter,Sony Computer Entertainment,0,0,0,0
World to the West,PS4,N/A,Action,N/A,0,0,0,0
Prey (2017),PS4,2017,Shooter,Bethesda Softworks,0,0,0,0
Crash Bandicoot N. Sane Trilogy,PS4,2017,Platform,Activision,0,0,0,0
Everybody's Golf,PS4,2017,Sports,Sony Computer Entertainment,0,0,0,0
Maniac Mansion: Day of the Tentacle,PS4,N/A,Adventure,N/A,0,0,0,0
Ether One,PS4,N/A,Adventure,N/A,0,0,0,0
Whore of the Orient,PS4,2020,Action,Warner Bros. Interactive Entertainment,0,0,0,0
Everybody's Gone to the Rapture,PS4,2015,Adventure,Sony Computer Entertainment Europe,0,0,0,0
Hitman GO,PS4,N/A,Puzzle,N/A,0,0,0,0
The Forest,PS4,2015,Action,Endnight Games Ltd,0,0,0,0
Woah Dave!,PS4,N/A,Action,N/A,0,0,0,0
PIX the CAT,PS4,N/A,Action,N/A,0,0,0,0
Primal Carnage: Extinction,PS4,N/A,Shooter,N/A,0,0,0,0
South Park: The Fractured But Whole,PS4,2017,Role-Playing,Ubisoft,0,0,0,0
ClaDun Sengoku,PS4,2017,Action,Nippon Ichi Software,0,0,0,0
MXGP 3: The Official Motocross Videogame,PS4,2017,Racing,Milestone,0,0,0,0
Cars 3: Driven to Win,PS4,2017,Racing,Warner Bros. Interactive Entertainment,0,0,0,0
Syberia III,PS4,2017,Adventure,Microids,0,0,0,0
Dear Esther,PS4,N/A,Adventure,N/A,0,0,0,0
Deep Down (Working Title),PS4,2020,Role-Playing,Capcom,0,0,0,0
Octodad: Dadliest Catch,PS4,N/A,Action,N/A,0,0,0,0
XING: The Land Beyond,PS4,N/A,Action,N/A,0,0,0,0
Cult County,PS4,2015,Action,Renegade Kid,0,0,0,0
Never Alone,PS4,N/A,Puzzle,N/A,0,0,0,0
Dead Island 2,PS4,2017,Action,Deep Silver,0,0,0,0
The Tomorrow Children,PS4,N/A,Adventure,N/A,0,0,0,0
Pathologic,PS4,2015,Adventure,Ice-pick Lodge,0,0,0,0
Superbeat: Xonic,PS4,2017,Misc,PM Studios,0,0,0,0
Hasbro Family Fun Pack,PS4,2015,Misc,Ubisoft,0,0,0,0
Portal Knights,PS4,2017,Role-Playing,505 Games,0,0,0,0
Earthlock: Festival of Magic,PS4,N/A,Role-Playing,N/A,0,0,0,0
Project Phoenix,PS4,N/A,Role-Playing,N/A,0,0,0,0
Pure Chess,PS4,N/A,Strategy,N/A,0,0,0,0
Entwined,PS4,2020,Action,Sony Computer Entertainment,0,0,0,0
AirMech Arena,PS4,N/A,Action,N/A,0,0,0,0
Skytorn,PS4,N/A,Action,N/A,0,0,0,0
Dengeki Bunko: Fighting Climax Ignition,PS4,2015,Action,Sega,0,0,0,0
Air Conflicts: Pacific Carriers,PS4,2015,Action,Kalypso Media,0,0,0,0
Hardware: Rivals,PS4,N/A,Action,N/A,0,0,0,0
De-formers,PS4,N/A,Action,N/A,0,0,0,0
Redout,PS4,2017,Racing,505 Games,0,0,0,0
Farpoint,PS4,2017,Shooter,Sony Computer Entertainment,0,0,0,0
Aven Colony,PS4,2017,Strategy,Sold Out,0,0,0,0
Brothers in Arms: Furious 4,PS4,2020,Shooter,Ubisoft,0,0,0,0
Mount & Blade: Warband,PS4,2016,Role-Playing,Taleworlds,0,0,0,0
Uncharted Waters Online: Gran Atlas,PS4,N/A,Role-Playing,N/A,0,0,0,0
Oddworld: Abe's Oddysee New N' Tasty!,PS4,N/A,Platform,N/A,0,0,0,0
Axiom Verge,PS4,N/A,Action,N/A,0,0,0,0
Sparkle 2,PS4,N/A,Puzzle,N/A,0,0,0,0
Soul Saga,PS4,N/A,Role-Playing,N/A,0,0,0,0
Dungeon Defenders II,PS4,N/A,Action,N/A,0,0,0,0
The Legend of Korra (2014),PS4,2014,Action,Activision,0,0,0,0
Shiftlings,PS4,N/A,Platform,N/A,0,0,0,0
Final Fantasy VII Remake,PS4,2020,Role-Playing,Square Enix,0,0,0,0
Tiny Troopers Joint Ops,PS4,2014,Action,Unknown,0,0,0,0
Uncharted: The Lost Legacy,PS4,2017,Action,Sony Computer Entertainment,0,0,0,0
MotoGP 17,PS4,2017,Racing,Koch Media,0,0,0,0
Air Conflicts: Secret Wars,PS4,2017,Simulation,Nighthawk Interactive,0,0,0,0
Kingdom Under Fire II,PS4,2014,Strategy,Unknown,0,0,0,0
LEGO City Undercover,PS4,2017,Platform,Warner Bros. Interactive Entertainment,0,0,0,0
Basement Crawl,PS4,N/A,Action,N/A,0,0,0,0
Worms Battlegrounds,PS4,N/A,Strategy,N/A,0,0,0,0
Blue Estate,PS4,2014,Action,Focus Home Interactive,0,0,0,0
Red Goddess: Inner Mind,PS4,N/A,Action,N/A,0,0,0,0
Inside,PS4,N/A,Platform,N/A,0,0,0,0
Alienation,PS4,N/A,Shooter,N/A,0,0,0,0
Apotheon,PS4,N/A,Action,N/A,0,0,0,0
Days Gone,PS4,2017,Action,Sony Computer Entertainment,0,0,0,0
Deformers,PS4,2017,Action,Ready at Dawn,0,0,0,0
Resident Evil: Revelations,PS4,2017,Action,Capcom,0,0,0,0
The Silver Case,PS4,2017,Adventure,Nippon Ichi Software,0,0,0,0
Primal Carnage: Genesis,PS4,2020,Action,Unknown,0,0,0,0
SteamWorld Dig,PS4,N/A,Platform,N/A,0,0,0,0
Pure Pool,PS4,2014,Simulation,Triniti Interactive,0,0,0,0
#killallzombies,PS4,N/A,Action,N/A,0,0,0,0
God Wars: Beyond Time,PS4,2016,Role-Playing,Kadokawa Games,0,0,0,0
Jikkyou Powerful Pro Baseball Success Special,PS4,N/A,Sports,N/A,0,0,0,0
Injustice 2,PS4,2017,Fighting,Warner Bros. Interactive Entertainment,0,0,0,0
ATV Renegades,PS4,2017,Racing,Nighthawk Interactive,0,0,0,0
Crash Bandicoot N. Sane Trilogy,PS4,2017,Platform,Activision,0,0,0,0
Everybody's Golf,PS4,2017,Sports,Sony Computer Entertainment,0,0,0,0
Maniac Mansion: Day of the Tentacle,PS4,N/A,Adventure,N/A,0,0,0,0
Ether One,PS4,N/A,Adventure,N/A,0,0,0,0
Octodad: Dadliest Catch,PS4,N/A,Action,N/A,0,0,0,0
XING: The Land Beyond,PS4,N/A,Action,N/A,0,0,0,0
Hitman GO,PS4,N/A,Puzzle,N/A,0,0,0,0
The Forest,PS4,2015,Action,Endnight Games Ltd,0,0,0,0
Woah Dave!,PS4,N/A,Action,N/A,0,0,0,0
PIX the CAT,PS4,N/A,Action,N/A,0,0,0,0
Primal Carnage: Extinction,PS4,N/A,Shooter,N/A,0,0,0,0
South Park: The Fractured But Whole,PS4,2017,Role-Playing,Ubisoft,0,0,0,0
ClaDun Sengoku,PS4,2017,Action,Nippon Ichi Software,0,0,0,0
MXGP 3: The Official Motocross Videogame,PS4,2017,Racing,Milestone,0,0,0,0
Cars 3: Driven to Win,PS4,2017,Racing,Warner Bros. Interactive Entertainment,0,0,0,0
Syberia III,PS4,2017,Adventure,Microids,0,0,0,0
Dear Esther,PS4,N/A,Adventure,N/A,0,0,0,0
Deep Down (Working Title),PS4,2020,Role-Playing,Capcom,0,0,0,0
Project Phoenix,PS4,N/A,Role-Playing,N/A,0,0,0,0
Cult County,PS4,2015,Action,Renegade Kid,0,0,0,0
Never Alone,PS4,N/A,Puzzle,N/A,0,0,0,0
Dead Island 2,PS4,2017,Action,Deep Silver,0,0,0,0
The Tomorrow Children,PS4,N/A,Adventure,N/A,0,0,0,0
Pathologic,PS4,2015,Adventure,Ice-pick Lodge,0,0,0,0
Superbeat: Xonic,PS4,2017,Misc,PM Studios,0,0,0,0
Hasbro Family Fun Pack,PS4,2015,Misc,Ubisoft,0,0,0,0
Portal Knights,PS4,2017,Role-Playing,505 Games,0,0,0,0
