Game,Platform,Year,Genre,Publisher,North America,Europe,Japan,Rest of World
LEGO Marvel Super Heroes,PS4,2013,Action,Warner Bros. Interactive Entertainment,0.59,0.78,0.01,0.26
Tom Clancy's Ghost Recon Wildlands,PS4,2017,Shooter,Ubisoft,0.46,0.72,0.15,0.23
Wolfenstein: The New Order,PS4,2014,Shooter,Bethesda Softworks,0.48,0.8,0.03,0.24
NBA 2K14,PS4,2013,Sports,Take-Two Interactive,0.9,0.31,0.01,0.23
Dishonored 2,PS4,2016,Action,Bethesda Softworks,0.51,0.68,0.01,0.23
Tomb Raider (2013),PS4,2014,Action,Square Enix,0.47,0.65,0.06,0.22
Naruto Shippuden: Ultimate Ninja Storm 4,PS4,2016,Fighting,Namco Bandai Games,0.49,0.52,0.12,0.2
WWE 2K16,PS4,2015,Sports,Take-Two Interactive,0.43,0.65,0,0.21
Metal Gear Solid V: Ground Zeroes,PS4,2014,Action,Konami Digital Entertainment,0.45,0.47,0.17,0.18
Titanfall 2,PS4,2016,Shooter,Electronic Arts,0.52,0.48,0.06,0.2
Mad Max (2015),PS4,2015,Action,Warner Bros. Interactive Entertainment,0.38,0.59,0.05,0.19
Rayman Legends,PS4,2014,Platform,Ubisoft,0.22,0.77,0,0.18
Project CARS,PS4,2015,Racing,Slightly Mad Studios,0.25,0.71,0.04,0.18
Dragon Ball: XenoVerse,PS4,2015,Fighting,Namco Bandai Games,0.33,0.53,0.14,0.16
WWE 2K15,PS4,2014,Sports,Take-Two Interactive,0.4,0.57,0,0.19
Alien: Isolation,PS4,2014,Shooter,Sega,0.35,0.57,0.05,0.18
EA Sports UFC 2,PS4,2016,Sports,Electronic Arts,0.35,0.58,0,0.18
The Last Guardian,PS4,2016,Action,Sony Computer Entertainment,0.3,0.51,0.12,0.16
Dragon Ball: Xenoverse 2,PS4,2016,Action,Namco Bandai Games,0.32,0.5,0.12,0.16
Lego Star Wars: The Force Awakens,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.23,0.66,0.02,0.16
EA Sports UFC,PS4,2014,Sports,Electronic Arts,0.47,0.41,0.01,0.18
For Honor,PS4,2017,Action,Ubisoft,0.41,0.42,0.07,0.16
MLB 16: The Show,PS4,2016,Action,Sony Computer Entertainment,0.84,0,0,0.2
WWE 2K17,PS4,2016,Sports,Take-Two Interactive,0.26,0.59,0,0.16
Evolve,PS4,2015,Shooter,Take-Two Interactive,0.38,0.41,0.05,0.16
Final Fantasy Type-0,PS4,2015,Role-Playing,Square Enix,0.38,0.32,0.16,0.14
Street Fighter V,PS4,2016,Fighting,Capcom,0.45,0.3,0.09,0.15
Guitar Hero Live,PS4,2015,Misc,Activision,0.4,0.43,0,0.16
Borderlands: The Handsome Collection,PS4,2015,Shooter,Take-Two Interactive,0.47,0.33,0.03,0.16
